State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=331,Old Homepage,09.07.2012,"On the 30th of June 2012 the governmental delegation of the Republic of Abkhazia with Viacheslav Chirikba, the Minister of foreign affairs of the Republic of Abkhazia at the head, arrived to the Turkish Republic for a visit",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=332,Old Homepage,05.07.2012,Viacheslav Chirikba Congratulates the Bolivarian Republic of Venezuela on Independence Day ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=337,Old Homepage,11.07.2012,Statement of the Ministry of Foreign Affairs of the Republic of Abkhazia,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=338,Old Homepage,06.07.2012,"The meeting of the Minister of Foreign Affairs Viacheslav Chirikba with D.Sanakoev, the Minister of Foreign Affairs of the RSO",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=352,Old Homepage,17.07.2012,"Viacheslav Chirikba, the Minister of foreign affairs met with Yuris Gulbis, the ambassador at large of the Republic of Abkhazia in the Asian-pacific region",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=353,Old Homepage,17.07.2012,A constructive meeting of the Co-Chairs of the Geneva Discussions was held with the Leadership of the MFA of Abkhazia,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=356,Old Homepage,18.07.2012,Irakli Khintba: deterioration of our relationship with Russia is not profitable for anyone.,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=362,Old Homepage,23.07.2012,The Ministry of Foreign Affairs of the Republic of Abkhazia sent a message of congratulations  on the occasion of birthday of the national hero of Venezuela Simon Bolivar.,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=363,Old Homepage,19.07.2012,The Ministry of Foreign Affairs of the Republic of Abkhazia sent a message of congratulations to the Ministry of Foreign Affairs of Nicaragua for the 33rd Anniversary of the Sandinista Revolution Victory.,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=369,Old Homepage,24.07.2012,"From 15 to 21 July, the town of Kaposvár hosted the annual Traditional International Children's Festival of Football in Hungary.",NA
